照片文件名,菜品名,价格(元),口味标签,食材,备注
bj_501.jpg,北大燕南梅菜扣肉,16,咸鲜;梅菜,五花肉;梅干菜;生抽,北大燕南美食厅
bj_531.jpg,北大燕南麻酱凉面,9,麻酱;清爽,面条;芝麻酱;黄瓜,北大燕南园
bj_532.jpg,清华听涛蒜蓉粉丝蒸扇贝,18,蒜香;海鲜,扇贝;粉丝;大蒜,清华听涛
bj_533.jpg,复旦南区黑椒牛柳,13,黑椒;嫩肉,牛柳;黑胡椒;洋葱,复旦南区
bj_534.jpg,浙大玉泉校区宋嫂鱼羹,14,酸辣;鱼羹,鳜鱼;醋;胡椒,浙大玉泉
bj_535.jpg,南大十食堂干煸豆角,6,微辣;干香,豆角;肉末;干辣椒,南大十食堂
bj_536.jpg,武大梅园小炒肉,11,香辣;猪肉,五花肉;青椒;豆豉,武大梅园
bj_537.jpg,中山大学东校酸辣蕨根粉,6,酸辣;爽滑,蕨根粉;醋;辣椒,中大东校
bj_538.jpg,川大望江校区乐山钵钵鸡,10,麻辣;冷串,鸡肉;藕片;辣椒油,川大望江
bj_539.jpg,西交创新港孜然羊肉粒,15,孜然;羊肉,羊肉;孜然;彩椒,西交创新港
bj_540.jpg,哈工大天香园糖醋里脊,10,酸甜;酥脆,猪里脊;番茄酱;白醋,哈工大天香园
bj_541.jpg,北大学五香菇油菜,6,清淡;香菇,香菇;油菜;盐,北大学五
bj_542.jpg,清华澜园咖喱鸡丁,10,咖喱;微辣,鸡肉;土豆;洋葱,清华澜园
bj_543.jpg,复旦旦苑干煎藕盒,8,咸鲜;煎制,藕;猪肉;面粉,复旦旦苑
bj_544.jpg,浙大紫荆港蟹黄豆腐,14,鲜咸;蟹味,蟹黄;豆腐;高汤,浙大紫荆港
bj_545.jpg,南大九食堂京酱肉丝,11,甜咸;酱香,猪肉;甜面酱;葱丝,南大九食堂
bj_546.jpg,武大工学部鱼香肉丝,9,微辣;酸辣,猪肉;木耳;胡萝卜,武大工学部
bj_547.jpg,中山大学学一宫保鸡丁,8,麻辣;花生,鸡肉;花生;干辣椒,中大學一
bj_548.jpg,川大望江校区水煮牛肉,16,麻辣;嫩滑,牛肉;豆芽;莴笋,川大望江
bj_549.jpg,西交创新港红烧狮子头,11,咸甜;大肉丸,猪肉;马蹄;生抽,西交创新港
bj_550.jpg,哈工大天香园酸辣土豆丝,5,酸辣;脆爽,土豆;醋;青椒,哈工大天香园
bj_551.jpg,北大畅春园锅塌豆腐,8,咸鲜;软嫩,豆腐;鸡蛋;高汤,北大畅春园
bj_552.jpg,清华观畴园小炒口蘑,10,清香;口蘑,口蘑;青椒;盐,清华观畴园
bj_553.jpg,复旦北区毛豆炒鸡丁,12,咸鲜;毛豆,鸡肉;毛豆;红椒,复旦北区
bj_554.jpg,浙大玉泉校区西湖醋鱼,16,酸甜;草鱼,草鱼;醋;糖,浙大玉泉
bj_555.jpg,南大十食堂蒜蓉菠菜,4,蒜香;绿叶,菠菜;大蒜;盐,南大十食堂
bj_556.jpg,武大梅园干锅花菜,8,香辣;干锅,花菜;五花肉;干辣椒,武大梅园
bj_557.jpg,中山大学东校上汤菠菜,5,鲜咸;汤菜,菠菜;皮蛋;咸蛋,中大东校
bj_558.jpg,川大望江校区毛血旺,18,麻辣;血旺,鸭血;毛肚;黄喉,川大望江
bj_559.jpg,西交创新港酸菜鱼,16,酸辣;鱼片,黑鱼;酸菜;泡椒,西交创新港
bj_560.jpg,哈工大天香园东北乱炖,10,咸鲜;混搭,排骨;玉米;豆角,哈工大天香园
bj_561.jpg,北大燕南蒜蓉开边虾,14,蒜香;蒸制,基围虾;大蒜;粉丝,北大燕南
bj_562.jpg,清华听涛鸡汁百叶包,8,鲜咸;鸡汁,猪肉;百叶;鸡汁,清华听涛
bj_563.jpg,复旦南区荠菜豆腐羹,6,清香;荠菜,荠菜;嫩豆腐;高汤,复旦南区
bj_564.jpg,浙大紫荆港油焖春笋,9,鲜咸;春笋,春笋;酱油;糖,浙大紫荆港
bj_565.jpg,南大六食堂葱烤河鲫鱼,13,葱香;河鲜,河鲫鱼;大葱;生抽,南大六食堂
bj_566.jpg,武大桂园辣炒花蛤,12,鲜辣;花蛤,花蛤;干辣椒;蒜末,武大桂园
bj_567.jpg,中山大学松涛园酱骨头,19,酱香;浓肉,猪脊骨;黄豆酱;八角,中大松涛园
bj_568.jpg,川大江安校区酸汤肥牛,15,酸辣;金针菇,肥牛;酸汤;金针菇,川大江安
bj_569.jpg,西交康桥苑小炒黄牛肉,16,香辣;嫩滑,黄牛肉;香菜;小米辣,西交康桥苑
bj_570.jpg,哈工大天香园干煸四季豆,10,干辣;脆嫩,四季豆;肉末;干辣椒,哈工大天香园
bj_571.jpg,北大学五酱爆鸡丁,12,酱香;微甜,鸡肉;黄酱;黄瓜,北大学五
bj_572.jpg,清华澜园口水杏鲍菇,7,麻辣;杏鲍菇,杏鲍菇;花椒;辣椒油,清华澜园
bj_573.jpg,复旦旦苑铁板茄子,9,酱香;茄子,茄子;肉末;铁板,复旦旦苑
bj_574.jpg,浙大玉泉校区干锅土豆片,8,香辣;土豆,土豆;五花肉;干辣椒,浙大玉泉
bj_575.jpg,南大九食堂孜然羊肉粒,15,孜然;羊肉,羊肉;孜然;彩椒,南大九食堂
bj_576.jpg,武大工学部黑椒牛柳粒,16,黑椒;嫩牛,牛柳;黑胡椒;洋葱,武大工学部
bj_577.jpg,中山大学学一口水鸡,9,麻辣;凉菜,鸡腿;花椒;黄瓜,中大學一
bj_578.jpg,川大望江校区回锅肉,11,香辣;豆豉,五花肉;青椒;豆豉,川大望江
bj_579.jpg,西交创新港蒜蓉粉丝蒸扇贝,18,蒜香;海鲜,扇贝;粉丝;大蒜,西交创新港
bj_580.jpg,哈工大天香园干煎小黄鱼,12,干香;煎制,小黄鱼;盐;生姜,哈工大天香园
bj_581.jpg,北大畅春园酱焖茄子,8,酱香;软烂,茄子;黄豆酱;肉末,北大畅春园
bj_582.jpg,清华观畴园小炒黄牛肉,16,香辣;嫩滑,黄牛肉;香菜;小米辣,清华观畴园
bj_583.jpg,复旦北区酸汤肥牛,18,酸辣;金针菇,肥牛;酸汤;金针菇,复旦北区
bj_584.jpg,浙大紫荆港蟹粉狮子头,14,蟹香;肉圆,猪肉;蟹粉;高汤,浙大紫荆港
bj_585.jpg,南大十食堂本帮鳝丝,18,鲜咸;鳝鱼,鳝鱼;韭菜;生抽,南大十食堂
bj_586.jpg,武大梅园油爆河虾,16,油爆;河虾,河虾;糖;生抽,武大梅园
bj_587.jpg,中山大学东校红烧素鸡,6,酱香;素鸡,素鸡;酱油;糖,中大东校
bj_588.jpg,川大江安校区四喜烤麸,5,甜咸;烤麸,烤麸;木耳;花生,川大江安
bj_589.jpg,西交创新港荠菜冬笋,8,清香;脆嫩,荠菜;冬笋;盐,西交创新港
bj_590.jpg,哈工大天香园辣白菜炒五花肉,12,酸辣;白菜,五花肉;辣白菜;青椒,哈工大天香园
bj_591.jpg,北大燕南韩式泡菜炒饭,10,微辣;泡菜,米饭;泡菜;鸡蛋,北大燕南
bj_592.jpg,清华听涛芝士焗红薯,9,奶香;芝士,红薯;马苏里拉;奶油,清华听涛
bj_593.jpg,复旦南区日式照烧鸡排,13,照烧;甜咸,鸡排;照烧汁;西兰花,复旦南区
bj_594.jpg,浙大玉泉校区泰式冬阴功汤,14,酸辣;香茅,虾;香茅;柠檬叶,浙大玉泉
bj_595.jpg,南大六食堂越南河粉,11,清汤;河粉,河粉;牛肉;九层塔,南大六食堂
bj_596.jpg,武大桂园新加坡叻沙,12,椰浆;微辣,米粉;椰浆;虾,武大桂园
bj_597.jpg,中山大学松涛园马来西亚炒粿条,10,黑豉;微辣,粿条;豆芽;鸡蛋,中大松涛园
bj_598.jpg,川大江安印尼炒饭,9,甜辣;炒饭,米饭;鸡肉;虾片,川大江安
bj_599.jpg,西交创新港菲律宾烤鸡,12,香茅;烤鸡,鸡肉;香茅;柠檬,西交创新港
bj_600.jpg,哈工大天香园意式奶油培根面,16,奶香;培根,意面;培根;奶油,哈工大天香园
