照片文件名,菜品名,价格(元),口味标签,食材,备注
bj_401.jpg,椒麻鸡丝,16,椒麻;微辣,鸡胸肉;花椒油;小葱,北京交大二食堂
sh_466.jpg,东北地三鲜,8,咸鲜;家常,茄子;土豆;青椒,上海海洋大学
sh_467.jpg,哈尔滨锅包肉,12,酸甜;酥脆,猪里脊;糖醋;胡萝卜,上海海洋大学
sh_468.jpg,齐齐哈尔烤肉,14,孜然;炭烤,牛肉;孜然;洋葱,上海海洋大学
sh_469.jpg,大庆扒鸡,11,五香;扒鸡,土鸡;香料;糖,上海海洋大学
sh_470.jpg,佳木斯拌面,9,酱香;拌面,面条;肉酱;黄瓜,上海海洋大学
bj_471.jpg,湖北热干面,8,麻酱;干拌,碱面;芝麻酱;萝卜丁,北京科大
bj_472.jpg,武汉豆皮,4,豆皮;糯米,糯米;鸡蛋;豆皮,北京科大
bj_473.jpg,武昌鱼,16,清蒸;武昌鱼,武昌鱼;蒸鱼豉油;葱,北京科大
bj_474.jpg,荆州鱼糕,10,嫩滑;鱼糜,草鱼糜;蛋清;淀粉,北京科大
bj_475.jpg,洪湖鸭焖莲藕,14,鲜咸;藕香,土鸭;莲藕;生抽,北京科大
sh_476.jpg,湖南剁椒鱼头,19,剁椒;鱼头,胖头鱼;剁椒;蒸制,上海师大
sh_477.jpg,口味虾,16,口味;麻辣,小龙虾;剁椒;花椒,上海师大
sh_478.jpg,长沙糖油粑粑,4,甜糯;油炸,糯米粉;红糖;油,上海师大
sh_479.jpg,湖南酱板鸭,15,酱香;板鸭,麻鸭;酱卤;辣椒,上海师大
sh_480.jpg,刮凉粉,5,酸辣;爽滑,凉粉;醋;辣椒,上海师大
bj_481.jpg,江西瓦罐汤,8,瓦罐;炖汤,土鸡;山药;枸杞,北京理工
bj_482.jpg,南昌拌粉,7,酸辣;拌粉,米粉;醋;辣椒,北京理工
bj_483.jpg,鄱阳湖胖鱼头,17,鲜辣;鱼头,胖头鱼;辣椒;蒸制,北京理工
bj_484.jpg,景德镇冷粉,6,冷吃;酸辣,米粉;醋;辣椒,北京理工
bj_485.jpg,九江茶饼,3,茶香;酥脆,面粉;茶油;芝麻,北京理工
sh_486.jpg,四川回锅肉,12,香辣;豆豉,五花肉;青椒;豆豉,上海理工
sh_487.jpg,成都麻婆豆腐,8,麻辣;嫩豆,豆腐;肉末;豆瓣酱,上海理工
sh_488.jpg,重庆水煮鱼,16,麻辣;鱼片,草鱼;豆芽;干辣椒,上海理工
sh_489.jpg,乐山钵钵鸡,10,麻辣;冷串,鸡肉;藕片;辣椒油,上海理工
sh_490.jpg,宜宾燃面,7,干香;燃面,面条;芽菜;花生,上海理工
bj_491.jpg,云南过桥米线,10,清汤;米线,米线;土鸡;韭菜,北京交大二食堂
bj_492.jpg,汽锅鸡,16,清汤;汽锅,土鸡;汽锅;枸杞,北京交大二食堂
bj_493.jpg,宣威火腿,20,咸香;火腿,宣威火腿;蜂蜜;白酒,北京交大二食堂
bj_494.jpg,云南饵块,6,软糯;饵块,饵块;肉末;酸菜,北京交大二食堂
bj_495.jpg,野生菌火锅,25,菌香;火锅,鸡枞;牛肝菌;高汤,北京交大二食堂
sh_496.jpg,海南文昌鸡,22,清淡;原味,文昌鸡;生姜;葱,上海交大闵行
sh_497.jpg,加积鸭,20,咸鲜;肥美,加积鸭;盐;生姜,上海交大闵行
sh_498.jpg,东山羊,18,无膻;羊肉,东山羊;清汤;枸杞,上海交大闵行
sh_499.jpg,和乐蟹,16,鲜甜;蟹肉,和乐蟹;蒸制;姜醋,上海交大闵行
sh_500.jpg,海南粉,8,酸辣;米粉,海南粉;酸菜;牛肉干,上海交大闵行
